season,week,celebrity_name,fan_votes_mean,fan_votes_std,fan_votes_ci_lower,fan_votes_ci_upper,fan_votes_median
20,7,Willow Shields,1035139.629213432,102155.02777821674,836599.9463308409,1239110.7076108959,1033748.7879125832
20,7,Riker Lynch,1812917.0197143287,176030.023486992,1480514.1331118725,2173012.039997373,1819706.0161099955
20,7,Rumer Willis,1807681.8112956968,172764.92641326776,1468863.7727391368,2133027.019725204,1814092.2879505716
20,7,Nastia Liukin,1831382.3528089272,173458.35393937878,1514398.4903516213,2207278.521444034,1826083.9260025076
20,7,Robert Herjavec,983208.3433709048,104271.84749963216,752680.1825428923,1183288.761464532,984521.332101013
20,7,Noah Galloway,1545523.855321291,155278.98136296202,1234724.5375148775,1855533.2521595221,1545701.4410647014
20,7,Chris Soules,990717.0220273266,95992.87454280697,802256.6763624738,1178248.0048596617,992139.0569467549
20,8,Riker Lynch,2376801.104846521,228846.27857170458,1923142.55953605,2808816.41239828,2376964.21431188
20,8,Rumer Willis,2410437.2308803787,238474.54014661245,1935566.7263065898,2848914.800822282,2413133.5943874465
20,8,Nastia Liukin,1678271.6815256649,171012.87229038516,1337572.7324864604,2009692.4690039416,1684250.1161548435
20,8,Robert Herjavec,938841.8833490978,100881.68671347994,738978.8534351992,1128752.25371162,940200.7266495257
20,8,Noah Galloway,1287809.7960452535,130812.61537294278,1027338.4350136922,1544743.1976404693,1288341.4482927793
20,8,Chris Soules,1294487.2065177741,128361.139839387,1041840.9828394557,1548747.8755363026,1296405.805196768
20,9,Riker Lynch,3206568.8710429217,320286.2322209528,2605607.5944564487,3817954.5276275566,3206335.4603910274
20,9,Rumer Willis,2509540.8204658157,259006.42809103703,2022517.0526213895,3004146.003816883,2500794.719623574
20,9,Nastia Liukin,1814622.1267083695,183908.71984213355,1441129.2598433502,2166334.7658979017,1823489.8477742057
20,9,Noah Galloway,2472156.805060642,240508.97047642726,2018442.8171182955,2979293.8426866373,2472399.229369363
20,10,Riker Lynch,2961013.1659260797,309712.2312879386,2410636.8019089457,3546663.906385667,2956503.824733106
20,10,Rumer Willis,4108542.991246571,414905.9073662925,3293644.443804226,4886443.367841257,4109195.318755367
20,10,Noah Galloway,2922088.912520048,298350.1303385322,2306393.3372397698,3505804.594687338,2915748.844255745
21,1,Gary Busey,563892.5097208201,52788.41081790137,449796.4725883074,663943.7819201114,564616.1424359162
21,1,Alexa PenaVega,754058.1110733439,77351.10717712606,606085.3357204212,905890.878783287,751462.317047807
21,1,Carlos PenaVega,1217026.1371306598,123485.64675412029,994856.9220859633,1491759.010214161,1208965.1235190085
21,1,Victor Espinoza,476286.09709957335,47619.59436239252,386339.5224527703,572791.9385520499,473854.78032122616
